Level,Degree,Term,courseName,courseID,courseType,creditHours,Grade,,
G,M1,1,CourseA1,CA1,Major,3,75,,
G,M1,1,CourseA6,CA6,Minor,4,76,,
G,M1,1,CourseA2,CA2,Major,3,77,76,
G,M1,2,CourseA11,CA11,Major,3,78,,
G,M1,2,CourseA16,CA16,Minor,4,99,,
G,M1,2,CourseA12,CA12,Major,3,81,86,
G,M1,3,CourseA21,CA21,Major,3,82,,
G,M1,3,CourseA26,CA26,Minor,4,81,,
G,M1,3,CourseA22,CA22,Major,3,82,81.6666666666667,
G,M1,4,CourseA31,CA31,Major,3,83,,
G,M1,4,Course30,CA30,Minor,4,85,,
G,M1,4,CourseA15,CA15,Major,3,86,84.6666666666667,82.0833333333333
G,M2,1,CourseP1,CP1,Major,3,77,,
G,M2,1,CourseP6,CP6,Minor,4,90,,
G,M2,1,CourseP11,CP11,Major,3,91,86,
G,M2,2,CourseP16,CP16,Major,3,95,,
G,M2,2,CourseP21,CP21,Minor,4,85,,
G,M2,2,CourseP26,CP26,Major,3,60,80,
G,M2,3,CourseP31,CP31,Major,3,82,,
G,M2,3,CourseP36,CP36,Minor,4,96,,
G,M2,3,CourseP38,CP38,Major,3,88,88.6666666666667,84.8888888888889
